apple_music_id,artist,name,key,bpm
BBE41E3F08F3D454,Luca Musto,Tight Situation,12m,109
F451BE37AF8B29B0,Maceo Plex,Your Style (Maceo Plex Re-visit),9m,122
8AED09318A2D73C6,Mano Le Tough,Energy Flow (DJ Koze's Miles&More Remix),12d,124
BC40BC3F27B7708E,Marcel Fengler,Jaz,3d,126
EFCEB9E3BA4890DA,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),12d,116
0B96594B3C795661,Max Cooper feat. Wilderthorn,Volition (Robag Wruhme’s Botnax Caal Remix),4d,124
A86813743D11A6B8,Melanie De Biasio,Afro Blue,1m,102
DC08137A23A8469D,Michael Mayer feat. Joe Goddard,For You (DJ Koze Mbira Remix Full Version),5d,124
92B023E6C70585D7,Midlake,Roscoe (Beyond The Wizard's Sleeve Remix),6m,122
F0E1937D39E39F3D,Moderat,NEON RATS,12d,131
6D27C19FD271582C,Moderat,Bad Kingdom (DJ Koze Remix),1m,118
9BD4637C4A7A2826,Mount Kimbie,Made To Stray (DJ Koze Remix),8m,125
42E24D587F0704D8,mytripismytrip,patience,1m,102
F1387B1A3E935747,Nightmares On Wax,Les Nuits,10m,95
BEBE2BBCBD21B21E,Niju,Idea of Unity,1m,100
FE83082FF58824E7,Ninze,Nice First Song,10m,107
F09FDE2C9B315F6B,Ninze,Cloud N°7,7d,115
8E85195807BCA9CC,Noir & Haze,Around (Solomun Vox),9m,115
A860D8E7612D05CF,Nutia,Backand4,2m,108
1AE21EF973CDAAE5,Pachanga Boys,Drunken Dancer,9m,116
FE30DE191A52F53D,Phonique feat. Erlend Øye,For The Time Being,4m,123
A9E68047C200943C,Portable feat. L_Cio,Surrender,3d,120
264E28DED667C5BD,Rezident,Echoes,12m,123
B7495B9A8962DA70,Rita Lee & Axel Boman,Lança Perfume (Axel Boman Remix),3d,125
7AD780FA846BB6A4,Rival Consoles,Recovery,4m,155
F63DC7BBD15590BC,Robag Wruhme,Nata Alma (Club Smash Hit Version),1m,118
CA00063A89738F0F,Robag Wruhme,Venq Tolep (Hit Club Version),2d,122
DBAB55A461013181,Robag Wruhme,Tulpa Ovi,2d,120
BA2C87BDAF8EF848,Robag Wruhme,Calma Calma,11m,125
4B7BCE101F0C5705,Róisín Murphy,What Not To Do,12m,149
9E42D4E97FFAF2DF,Roman Flugel,9 Years (DJ Koze Remix),9m,120
0062C12EBBD5ECA8,Roman Flügel,How To Spread Lies,7m,123
89B8EE35C2D3A29E,Ross From Friends,Epiphany,6m,127
92890EF8F0830116,Ross From Friends,High Energy,6m,129
EAD59D57121C383B,Ross from Friends,Talk To Me You'll Understand,5m,126
E78372A6A1E071CA,Shingo Nakamura & Kazusa,Move On (Tim Engelhardt Love Mix),7d,125
5ADAE87D89FC969B,Soulful Session & Lynn Lockamy,Hostile Takeover,1m,126
AA6B003CE506D86D,Stardust,Music Sounds Better With You,9m,124
8173F4FAD776BABF,Super Flu,Jo Gurt (DJ Koze Remix),2d,118
A866C9C0960E60E6,Superpitcher,Little Raver (Original Mix),10m,110
DAB620B71FE46FD6,Superpitcher,Smile It's a New Day,4m,114
3D049E7DC8D6F93B,Superpitcher,Rabbits In A Hurry (Sascha Funkes JD Is The One Rabbits Remix),3m,125
23C40FC63B65D4C1,Talaboman,Loser’s Hymn,11m,118
8F70D147B185D9CF,TEE MANGO,Of All The Places Left To Dance (Original Mix),2m,122
DF2ADE8C94D51A02,upper class,SIX MILLION,12m,120
92D36E5321D323C1,upper class,CONVENTIONAL PARTIES,2m,120
AA3AEE0E79B9DD66,Voyage,Dynamic,5m,115
520C6A3A56367859,Weval,Something,2m,85
FEAE624ED7992809,The White Lamp,It's You (Ron Basejam Remix),2m,122
A5AA505409F45D58,Who Made Who,Keep Me In My Plane (DJ Koze's Hudson River Dub),8m,116
26633170F9D4C17F,WIDE AWAKE,Mint,2m,115
2FBA7DEDA127FF5C,The XX,On Hold (Jamie xx Remix),10m,128
5CD77C179587250F,Youandewan,1988 (Original Mix),4m,123
78334582983C4C88,박혜진 park hye jin,I DON'T CARE,4m,124
180C143AC2928700,Pavla & Noura,Don't Owe Me a Thing,12d,94
1D64C96744B0A29D,Gwilym Gold & Doc Daneeka,Lust For Sale (MGF Mix),9m,121
3ECA64B01BFE8FC3,DJ Koze,Mariposa,4m,124
5141F49D0DFBA52A,DJ Koze,Blume Der Nacht (Original Mix),10m,123
3E5774F3F7048483,Jackmate feat. Nik Reiff,Pacemaker,11m,120
9282BD04501DB3C9,Daniel Bortz,Cuz You're the One,5m,111
E4DC58AA7B1DF31E,Axel Boman,Hello,11m,118
09A7D03CA9302E8D,Bicep,Celeste,12m,125
9E3B1EA114B67B7F,DJ Koze,Hicc Up,11m,125
5D4E1CBF05F9ABD7,Efdemin,There Will Be Singing (DJ Koze Remix),1m,124
6DAAF4207B02893B,Isolée,Allowance,1m,120
67779860694F2FA7,Lake People / Llewellyn / Amrint Keen,Cooping - Map.ache Remix,12m,123
8C0909A419F9090F,Leafar Legov,Cenote,11m,120
9D6A87CE6E9C5AEB,Recondite,Felicity,8m,121
F7D29E6DDEE800A2,Superpitcher,Tonite,6m,124
BF1C20734E72D671,Norken & Deer,Remember that feeling,3m,121
E1AEA68E27474ED4,John Talabot feat. Pional,So Will Be Now,9m,117
85E680630CBAEC4A,Dauwd,Ikopol,11d,126
182511C4C27EE861,Herbert,It's Only (DJ Koze Remix),4m,118
4176BE0601188FE8,Closer Musik,Maria,2m,124
A543179C836D1B52,Audision,Red Sky (Robag Wruhme Remix),12d,124
CBC687708500E950,Dinky,Casa (Axel Boman Dub Mix),7m,124
D23C23CABEB5894F,Fort Romeau,Secrets & Lies,11m,120
1D132A540BB1E3BB,Powel,I Don't Waste My Tears on You,11m,120
9390368920ED7093,Yoko Duo,Blowfish (Lake People Remix),4m,115
F237F4D63AAEF7A0,Aleksandir,Dreams,6d,119
B74337E32768F98F,AQUARIUS HEAVEN,Universe,3m,120
27D894143F9508AB,Axel Boman,The Best Ever Made Ever,4d,126
C1AD2BFCE4B81893,Brigade feat. Acud,Meet Me On Pluto!,9m,110
09376D4F66C3C9F0,Dave DK,Jelly Legs,6m,120
0F318D760842D049,Dave DK,Will Be Gone,8m,122
18D5700DE4E9EEA8,David August,Epikur,9m,118
91EB327D3516EA59,Fünf Sterne Deluxe,Schund (Super Flu’s No Champier Mix),10m,123
EA7AE05764D345B1,Genius Of Time,Houston We Have A Problem,3d,117
8FAC2CC8F72BCE4E,Genius Of Time,Peace Bird,10m,124
9C9B74C419ABE945,HNNY,12 00,9m,118
F94EE46059DEC13A,"Joey Negro, Akabu",Another World (Andre Lodemann Mix),9m,125
C2AACE85F0F1733A,Lake People,Point In Time,5m,120
AD1AD9612533B0CC,Lauer,Antinat,1d,123
822EBDC8F5ED6091,Mario & Vidis feat. Ernesto,Changed,2m,123
C401C466C1868D8C,Maya Jane Coles,Humming Bird (Original Mix),8m,125
3F7D2B1E3C9F7AD6,&ME,Solaris,9m,120
460BACC52EB03A1A,Midland,Through Motion,2m,125
452361605135D100,Mosley Jr,My Friend Steve,11m,110
10CFE3128605CD0C,Shinichi Atobe,Regret,8m,120
EF2F94C0D2372251,Ray Mang,Look Into My Eyes,9m,110
89BDC796BA0EA1B4,Gregor Salto & DJ Gregory,Canoa (Original Mix),9m,127
55F816AA0CBBEDB0,Grauzone,Raum (ATA's Extended Mix),1m,127
D8F8531EF1F82D4C,Asa Tate / Tech Support,Friends,7d,125
F30FD573AA905C49,Blaze,Lovelee Dae (Original),11m,124
4300A02512D36A1E,Butch,Dope,7d,123
49FAB4A481EA5430,Cerrone,Supernature,10m,123
50E6A69C3634182A,Daphni,Waiting So Long,4m,133
EB374DC192EA65F1,Daso,Meine,4m,126
D356A356573B80DF,Dominik Eulberg & Essay,Dream Machine,12d,123
90DEEA525D379D19,Frankey & Sandrino,Acamar,1m,120
6E8BE67AAA519E71,Gabriel Ananda & Maceo Plex,Solitary Daze (Original Mix),7m,125
904959D73E2AB42E,Genius Of Time,Sunswell,3d,124
0055EA86F7078C36,Grauzone,Eisbär,4m,129
8690521330EC8AF3,Halo Varga & Proudly People feat. Mr. V,Trust (Einzelkind & Robin Scholz aka Rhythm Factory - Boogie Down Bronx Remix),1m,126
17B4330D61A5C815,Isaac Tichauer,Higher Level (Bicep Remix),11m,123
007FD1AF98397066,José González,Heartbeats (Logic1000 Remix),8m,124
15AAF9129E9097D9,KARO,Come on and do it (Nachtiville Opening 2023),12m,130
524C9604FC6549AE,KARO,Nachti Opening 2023,8m,129
80A9B2ECA6354653,Lauer feat. Dena,Make It Stay (Boris Dlugosch Remix),1d,122
1CB511AB86A1CCAF,Literon,Machine I,9m,126
50A022C2E70C901B,Magnetic Family,Ode,1d,126
2B1775639471AB01,Miss Kittin & The Hacker,The Beach,8m,131
2C2516EE14975ADC,The Other People Place,Let Me Be Me,9d,131
4A6173BA6EDA3E17,Panthera Krause,Through My Mind,9d,121
11E443B22327627D,Rework,You're So Just Just,9d,128
DD24B6F784F34BE3,Saâda Bonaire,You Could Be More As You Are,2m,110
EEC86D0C2EC2A9B7,Steffi feat. Virginia,Yours,1m,125
C0F213BCA151C676,Tony Lionni,Found a Place,11m,125
24CC869366EA91D0,Toro y Moi,Rose Quartz,10m,110
432DDF30DEF0C399,TSHA,Sacred,1m,123
E7B99ED5908B2FB0,Zohra,Badala Zamana,3m,112
8A3CC2B09F9F58EC,Moodymann,Shades Of Jae,11m,121
963A3D933E88D59E,AURORA,Some Type Of Skin (Sofia Kourtesis Remix),10d,127
C3D26DBCA5222E6F,Bicep,Just (Original Mix),12m,120
A4644980C3C12C92,Daniel Bortz,Boyz 2 Men (Original Mix),1m,120
2D29BBF6D48EBBEB,Tourist & Sofia Kourtesis,Your Love (Sofia Kourtesis Remix),12d,124
6CD6B2C532382FBE,Westbam feat. Nena,Oldschool Baby (Piano Mix),8m,130
CABF37CC5173999D,Weval,ON (Extended Version),7m,124
38C524D2E5DB34AB,Midland,Final Credits,9m,133
BCF4FFC5EFDDC171,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),9m,126
AABC6298806E8E24,Midnight Magic,Beam Me Up (Jacques Renault Remix),9m,117
