playlist_position,apple_music_id,artist,name,key,bpm,bpm_diff,transition_score,transition_type
54,104959D73E2AB42E,Genius Of Time,Sunswell,5,123.96311950683594,-3.9034271240234375,97.65794372558594,matching
55,A660F6523C5E5A2E,Akufen,Train To Barcelona,5,120.0596923828125,-0.03942108154298296,99.88173675537105,matching
56,ABD1B49B870E4407,DJ Koze,Buschtaxi (Extended Version),8,120.02027130126952,-0.02027130126951704,99.93918609619145,matching
57,29E68047C200943C,Portable feat. L_Cio,Surrender,5,120.0,0.0,100.0,matching
58,EE34CB8920673D5A,Leon Vynehall,Time,8,120.0,0.0,100.0,matching
59,BC9A69D363D15BC0,Keinemusik feat. Sofie,Discoteca Dub,8,120.0,-0.01915740966795454,99.94252777099614,matching
60,03D63BB4E26A3B62,Maceo Plex,Her Security,5,119.98084259033205,2.0108566284179545,98.79348602294922,matching
61,171C7032A4AFEEF3,Sofia Kourtesis,Si Te Portas Bonito,8,121.99169921875,0.9857101440429545,99.40857391357423,matching
62,7E30DE191A52F53D,Phonique feat. Erlend Øye,For The Time Being,8,122.97740936279295,0.03942108154298296,99.97634735107421,matching
63,DCD77C179587250F,Youandewan,1988 (Original Mix),8,123.01683044433594,0.7831726074218608,97.53009643554688,boost
64,5F5BAB509EB6AB86,Galcher Lustwerk,Enterprise,10,123.8000030517578,0.20253753662110796,99.87847747802734,matching
65,9358E16BE3A17A16,Guti & Dubshape,Every Cow Has A Bird,10,124.0025405883789,0.9857101440429688,99.40857391357422,matching
66,87E79E43BE084C3A,Marshall Jefferson & Noosa Heads,Mushrooms (Justin Martin Mix),10,124.98825073242188,0.0,100.0,matching
67,B8BA7B097FF2D34F,Kiasmos,Blurred (Bonobo Remix),10,124.98825073242188,0.9857254028320312,99.40856475830077,matching
68,DAEE4E32856F28B8,The MFA,The Difference It Makes (Superpitcher Mix),7,125.9739761352539,0.0,100.0,matching
69,6AD59D57121C383B,Ross from Friends,Talk To Me You'll Understand,10,125.9739761352539,1.0251312255859375,99.38492126464843,matching
70,45F31F7C9A24426C,Map.ache,Thank U Again,10,126.99910736083984,0.0,98.0,boost
71,09B8EE35C2D3A29E,Ross From Friends,Epiphany,12,126.99910736083984,0.9857254028320312,99.40856475830077,matching
72,765FD0EC425C3CA1,Westbam feat. Richard Butler,You Need the Drugs,12,127.98483276367188,0.9462738037109375,99.43223571777344,matching
73,12890EF8F0830116,Ross From Friends,High Energy,12,128.9311065673828,3.0359954833984375,98.17840270996093,matching
