apple_music_id,artist,name,key,bpm
1E3E8F50C272A123,Orbital,Belfast,1d,120
596127ABBC0D0ADB,Underworld,Born Slippy (Alma & Mater Edit),10d,118
30A1DA76BF1B14E3,COMA,Atlantis,11m,120
F30FD573AA905C49,Blaze,Lovelee Dae (Original),11m,124
C1E1D82C671E8345,Nina Kraviz,Tarde (Melchior Productions Ltd's Lgd MX),11m,125
90433F855FF96B33,Floorplan,Makes Me Wanna (Extended Mix),11m,129
850D7B0A98F0D6DE,Pretty Girl,Arc,9m,127
742D6DC5B74C6DF7,"Katya, Me & George",Every Time I Fall (Logic1000 Extended Remix),9m,128
A15299DE848EFC35,antraum,Hachi,4m,128
EF8787771D0798D6,antraum,Ju  (Traumer Sunset Mix),3m,127
07741A03011E1BB5,Robag Wruhme,Lampetee,2m,125
E785D78D410B38EC,Agoria,Solarized,12m,122
B0B8D7CE7C71D25D,Francis Inferno Orchestra,Harmony,1m,123
007FD1AF98397066,José González,Heartbeats (Logic1000 Remix),8m,124
2D34676B11EC07BA,"Eli Escobar, Rogue D, Memoryman, Uovo",Up All Night Pt 2 (Rogue D & Memoryman (aka Uovo) Remix),5m,123
68EC5607CD3FA4BE,Moodymann,Freeki Mutha F cker,4d,125
832A2663B062330B,Rampa,Necessity,3d,120
