playlist_position,apple_music_id,artist,name,key,bpm,bpm_diff,transition_score,transition_type
58,-1282176204079153830,Leon Vynehall,Time,8,120.0,0.0,100.0,matching
59,-4856452891531977792,Keinemusik feat. Sofie,Discoteca Dub,8,120.0,-0.01915740966795454,99.94252777099614,matching
60,276474075208629090,Maceo Plex,Her Security,5,119.98084259033205,2.0108566284179545,98.79348602294922,matching
61,1665329325033910003,Sofia Kourtesis,Si Te Portas Bonito,8,121.99169921875,0.9857101440429545,99.40857391357423,matching
62,9093011847058224445,Phonique feat. Erlend Øye,For The Time Being,8,122.97740936279295,0.03942108154298296,99.97634735107421,matching
63,-2533419824637860593,Youandewan,1988 (Original Mix),8,123.01683044433594,0.7831726074218608,97.53009643554688,boost
64,6871274019232328582,Galcher Lustwerk,Enterprise,10,123.8000030517578,0.20253753662110796,99.87847747802734,matching
65,-7829260098686846442,Guti & Dubshape,Every Cow Has A Bird,10,124.0025405883789,0.9857101440429688,99.40857391357422,matching
66,-8653774145180906438,Marshall Jefferson & Noosa Heads,Mushrooms (Justin Martin Mix),10,124.98825073242188,0.0,100.0,matching
67,-5135657144331087025,Kiasmos,Blurred (Bonobo Remix),10,124.98825073242188,0.9857254028320312,99.40856475830077,matching
68,-2671111550090139464,The MFA,The Difference It Makes (Superpitcher Mix),7,125.9739761352539,0.0,100.0,matching
69,7698232135351285819,Ross from Friends,Talk To Me You'll Understand,10,125.9739761352539,1.0251312255859375,99.38492126464843,matching
70,5040407027980190316,Map.ache,Thank U Again,10,126.99910736083984,0.0,98.0,boost
71,700571656725439134,Ross From Friends,Epiphany,12,126.99910736083984,0.9857254028320312,99.40856475830077,matching
72,8529765932407209121,Westbam feat. Richard Butler,You Need the Drugs,12,127.98483276367188,0.9462738037109375,99.43223571777344,matching
73,1335615226841858326,Ross From Friends,High Energy,12,128.9311065673828,3.0359954833984375,98.17840270996093,matching
74,9183944778740280657,Ross from Friends,The Daisy,12,131.96710205078125,3.627410888671875,97.82355346679688,matching
75,-505687312247682548,Jon Hopkins,Vessel (Four Tet Remix),12,135.59451293945312,-2.594512939453125,96.44329223632812,boost
76,-6416821294110069550,Daft Punk,Make Love,14,133.0,-3.00433349609375,98.19739990234375,matching
77,4506892805425096343,Nils Frahm,Familiar (Original Mix),14,129.99566650390625,0.5125885009765625,97.69244689941405,boost
78,-1380719675721633858,Westbam feat. Nena,Oldschool Baby (Piano Mix),16,130.5082550048828,0.4917449951171875,97.70495300292968,boost
79,9030581548830400269,SILK,Quiver,15,131.0,2.0,98.8,matching
80,-5132655712100731733,Midland,Final Credits,18,133.0,-3.91119384765625,95.65328369140624,boost
81,-3214720859902301807,Jeigo,Pearl Leaf,20,129.08880615234375,1.971435546875,98.817138671875,matching
82,-6118292498206840063,Miss Kittin & The Hacker,The Beach,20,131.06024169921875,-2.8782806396484375,98.27303161621094,matching
83,-5784172311839506596,The XX,On Hold (Jamie xx Remix),20,128.1819610595703,-2.1685638427734375,98.69886169433593,matching
84,-7090173930599939052,Black Loops,Velvet,20,126.01339721679688,0.0,100.0,matching
85,-7154793004612334417,Literon,Machine I,20,126.01339721679688,-0.03942108154296875,99.8817367553711,matching
86,4392416762191004017,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),20,125.9739761352539,-2.0108566284179688,98.79348602294922,matching
87,5829621825351458086,Agoria,Dust,20,123.96311950683594,0.0368804931640625,99.97787170410156,matching
88,9170793369899410274,Galcher Lustwerk,Outside the Club,20,124.0,0.00254058837890625,99.99847564697265,matching
89,1129326848215076430,Genius Of Time,Peace Bird,20,124.0025405883789,0.0,100.0,matching
90,-8271082008311689645,Kalyma,Tokyo,20,124.0025405883789,0.0394287109375,99.9763427734375,matching
91,8181148944036896651,PJ,"Everything In Its Right Place (House, Extended)",20,124.0419692993164,0.6702957153320312,99.59782257080079,matching
92,4679824663672637046,Tony Lionni,Found a Place,20,124.71226501464844,0.2759857177734375,99.83440856933593,matching
93,7378682628998829573,Luca Albano,Calinda (Francesco Bonora Remix),20,124.98825073242188,-2.0108413696289205,98.79349517822264,matching
94,-3368142090914781910,DJ Koze,Blume Der Nacht (Original Mix),20,122.97740936279295,0.02259063720704546,99.98644561767577,matching
95,-7743714598006201535,Guti,We Shall Overcome,20,123.0,0.0168304443359375,99.98990173339843,matching
96,1291181231514774105,Fünf Sterne Deluxe,Schund (Super Flu’s No Champier Mix),20,123.01683044433594,0.0394287109375,99.9763427734375,matching
97,2203724515864507628,Aphex Twin,Windowlicker,20,123.05625915527344,-2.0502777099609375,98.76983337402343,matching
