song_id,key,bpm
Isolee - I Like It Here Can I Stay,2,120.0
Maceo Plex - Can't Leave You (Original Mix),24,121.0
Dave DK - Don't Eat The Homies,12,121.0
She Knows - Thalassa (Original Mix),15,121.0
DJ Phono - Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,22,121.0
Map.Ache - Enola (Original Mix),2,121.0
Nhar - Warp 8,10,121.0
Aleksandir - Yamaha,20,121.0
DJ Koze - I Want To Sleep,22,121.0
Lawrence - Glow,24,121.0
Black Loops - Sex,22,121.0
Midlake - Roscoe (Beyond The Wizard's Sleeve Remix),12,121.0
Dorisburg - Emotion,2,122.0
Guy Gerber - What To Do (&ME Remix),20,122.0
Axel Boman - Eyes Of My Mind,1,122.0
Sofia Kourtesis - Si Te Portas Bonito,8,122.0
Sofia Kourtesis - By Your Side,18,122.0
Keinemusik - What You Expected,4,122.0
Galcher Lustwerk - Put On,6,122.0
Fred again.. - Bleu (better with time),12,122.0
Superpitcher - Lonely Lover,6,122.0
Agoria - Solarized,22,122.0
Ben Pearce - What I Might Do,20,122.0
Maceo Plex - Your Style (Maceo Plex Re-visit),18,122.0
Bibio - Lovers Carvings (Catz 'n Dogz Re-edit),18,122.0
Guti - Patio de juegos,6,122.0
DJ Phono - Gone,20,122.0
TEE MANGO - Of All The Places Left To Dance (Original Mix),4,122.0
Panthera Krause - Heppy,14,123.0
Youandewan - 1988 (Original Mix),8,123.0
The Cyclist - Pressing Matters (Robag's Pinvoldex Sull NB),24,123.0
Acid Arab - Buzq Blues,12,123.0
Efdemin - Parallaxis (Traumprinz's Over 2 The End Version),4,123.0
Rezident - Echoes,24,123.0
Joeski feat. Jesánte - How Do I Go On,6,123.0
Kings of Tomorrow feat. April - Fall for You (Sandy Rivera's Classic Mix),22,123.0
Gold Panda - Black Voices,2,123.0
Fred again.. - Diana (You Don't Even Know),24,123.0
Aphex Twin - Windowlicker,20,123.0
Herbert - I Hadn't Known (I Only Heard),16,123.0
Roman Flügel - How To Spread Lies,14,123.0
Guti - We Shall Overcome,20,123.0
Phonique feat. Erlend Øye - For The Time Being,8,123.0
Cinthie - Together (Original),9,123.0
Dan Ghenacia & Shonky - Close To The Edge (Original Mix),14,124.0
Max von Sternberg - Moving (Sofia Kourtesis Remix),4,124.0
Sofia Kourtesis - Vajkoczy,1,124.0
Kalyma - Tokyo,20,124.0
Meera (NO) - No Space,24,124.0
Pachanga Boys - Time,22,124.0
Tim Engelhardt - High Places,16,124.0
Keinemusik feat. Nomi Ruiz - Pussy Power,2,124.0
"Fred again.., Obongjayar - adore u",24,124.0
Martyn feat. Four Tet - Glassbeadgames,2,124.0
"PJ - Everything In Its Right Place (House, Extended)",20,124.0
Galcher Lustwerk - Outside the Club,20,124.0
Galcher Lustwerk - Enterprise,10,124.0
Zone+ - Infinite Galaxy,22,124.0
Jayda G - Both of Us,12,124.0
Michael Mayer feat. Joe Goddard - For You (DJ Koze Mbira Remix Full Version),9,124.0
