apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength
35977874145636454,Key 8m,0.8675,Key 8m,0.8395,Key 7m,0.8429,Key 8m,0.8376,Key 8m,0.8071,Key 7d,0.802,Key 7m,0.915
91567727434490367,Key 12d,0.7964,Key 12m,0.7178,Key 12d,0.8125,Key 12d,0.8537,Key 12d,0.8437,Key 12d,0.7764,Key 11d,0.7229
93769987669143669,Key 7d,0.8653,Key 4m,0.8042,Key 4m,0.7628,Key 7d,0.7858,Key 4m,0.8397,Key 7d,0.5602,Key 4m,0.7095
113827849185282199,Key 1m,0.7929,Key 1m,0.7805,Key 1m,0.8617,Key 2d,0.7583,Key 2d,0.7938,Key 2d,0.7518,Key 2d,0.8748
150554572695233821,Key 1m,0.8306,Key 1m,0.8452,Key 1m,0.853,Key 1m,0.8407,Key 1m,0.7464,Key 1d,0.8136,Key 1d,0.9216
218895051335754809,Key 1m,0.8845,Key 1m,0.9062,Key 1m,0.9025,Key 1m,0.8816,Key 1m,0.8379,Key 1d,0.8028,Key 1m,0.8957
390601428288667923,Key 2d,0.7433,Key 3m,0.5663,Key 2d,0.8027,Key 2d,0.8182,Key 2d,0.8279,Key 2d,0.7732,Key 2d,0.7097
393292672924426404,Key 3m,0.8873,Key 3m,0.8917,Key 3m,0.8765,Key 3m,0.8352,Key 3m,0.8394,Key 3d,0.7351,Key 3m,0.8929
537082855769906101,Key 2m,0.3755,Key 2m,0.3876,Key 2m,0.4277,Key 2m,0.4211,Key 3m,0.3907,Key 2m,0.5713,Key 2m,0.4942
537102399521819718,Key 3m,0.9371,Key 3m,0.9463,Key 3m,0.886,Key 3m,0.9654,Key 3m,0.8752,Key 2d,0.7535,Key 3m,0.7919
569597891673869370,Key 4d,0.6755,Key 5m,0.6946,Key 4d,0.7298,Key 4d,0.7457,Key 4d,0.7196,Key 4d,0.7511,Key 4d,0.6616
595488912866712317,Key 10m,0.911,Key 10m,0.9312,Key 10m,0.9018,Key 10m,0.8959,Key 10m,0.8524,Key 10d,0.8497,Key 10m,0.9315
623410646784030503,Key 1m,0.8811,Key 1m,0.9179,Key 1m,0.8918,Key 1m,0.94,Key 1m,0.8015,Key 1d,0.8231,Key 1m,0.8533
629804561382532414,Key 11d,0.8104,Key 11m,0.7577,Key 11d,0.9006,Key 11d,0.8914,Key 11d,0.8582,Key 11d,0.9115,Key 11d,0.9558
644566616497295789,Key 8m,0.7598,Key 8m,0.8217,Key 8d,0.8341,Key 8d,0.8869,Key 8d,0.8175,Key 8d,0.9368,Key 8d,0.8886
664119657854388720,Key 6m,0.8644,Key 6m,0.921,Key 6m,0.8629,Key 6m,0.9212,Key 6d,0.8021,Key 6d,0.8425,Key 6m,0.8851
695753626407153293,Key 12m,0.7974,Key 12m,0.8067,Key 12m,0.823,Key 12m,0.8101,Key 12d,0.7482,Key 12d,0.7977,Key 12d,0.8577
773214301183248742,Key 12m,0.8333,Key 12m,0.8573,Key 12m,0.8131,Key 12m,0.8461,Key 12d,0.7842,Key 12d,0.7433,Key 12d,0.8528
779688104379778897,Key 2d,0.8365,Key 2m,0.8046,Key 2d,0.8935,Key 2d,0.9081,Key 2d,0.8765,Key 2d,0.8195,Key 2d,0.8001
820240586566521580,Key 11m,0.7998,Key 11m,0.8169,Key 10m,0.8362,Key 11m,0.851,Key 10m,0.724,Key 10d,0.8958,Key 10d,0.9366
834952960595809889,Key 4d,0.9803,Key 1m,0.714,Key 4d,0.9686,Key 4d,0.9604,Key 4d,0.9873,Key 4d,0.8288,Key 3d,0.7733
923548548537117844,Key 8m,0.8809,Key 8m,0.9226,Key 8m,0.9078,Key 8m,0.9589,Key 8m,0.7774,Key 8d,0.8835,Key 8m,0.8805
952290028543086163,Key 10m,0.8918,Key 10m,0.9137,Key 10m,0.8748,Key 10m,0.9136,Key 10m,0.8161,Key 10d,0.7972,Key 10m,0.86
1003779461248202951,Key 9d,0.8585,Key 7m,0.8301,Key 9d,0.8549,Key 9d,0.7627,Key 9d,0.8332,Key 8d,0.677,Key 7m,0.9054
1094811722511994953,Key 8m,0.866,Key 8m,0.8453,Key 8m,0.8551,Key 8m,0.7827,Key 7m,0.8341,Key 8m,0.6719,Key 7m,0.895
1211436493483396364,Key 8m,0.8812,Key 8m,0.9003,Key 8m,0.9177,Key 8m,0.9263,Key 8m,0.8155,Key 8d,0.807,Key 8m,0.8876
1218550728542419718,Key 1m,0.9586,Key 1m,0.9775,Key 1m,0.9367,Key 1m,0.9696,Key 1m,0.9103,Key 1m,0.7781,Key 1m,0.838
1289229825707827837,Key 9d,0.8258,Key 9m,0.8336,Key 9d,0.895,Key 9d,0.888,Key 9d,0.8948,Key 9d,0.804,Key 9d,0.8319
1394111938167929366,Key 6m,0.7471,Key 5m,0.7288,Key 5m,0.7207,Key 6m,0.7411,Key 6m,0.709,Key 5d,0.6531,Key 5m,0.6958
1415828869727571624,Key 3m,0.7572,Key 3m,0.7149,Key 3m,0.6952,Key 3m,0.6936,Key 3m,0.7515,Key 2d,0.557,Key 3m,0.5313
1473143316093082155,Key 11m,0.9023,Key 11m,0.9298,Key 11m,0.9001,Key 11m,0.9441,Key 11m,0.8215,Key 11d,0.8532,Key 11m,0.8966
1479657438848574273,Key 10m,0.8094,Key 11m,0.8226,Key 10m,0.8144,Key 11m,0.8311,Key 10m,0.7743,Key 10d,0.7616,Key 10d,0.8003
1561334079202301913,Key 12m,0.91,Key 12m,0.875,Key 12m,0.9196,Key 12m,0.8275,Key 12m,0.9197,Key 1m,0.6747,Key 12m,0.812
1576184741139438427,Key 2m,0.8427,Key 2m,0.8634,Key 2m,0.8438,Key 2m,0.8728,Key 2m,0.7842,Key 2d,0.8336,Key 2m,0.8315
1616447913451187609,Key 9d,0.932,Key 6m,0.8222,Key 9d,0.856,Key 9d,0.8476,Key 6m,0.8983,Key 8d,0.7045,Key 6m,0.8455
1637689457290942586,Key 11d,0.811,Key 11m,0.8097,Key 11d,0.8774,Key 11d,0.9068,Key 11d,0.8625,Key 11d,0.8992,Key 11d,0.8529
1708046291246106645,Key 11m,0.9145,Key 11m,0.8691,Key 11m,0.8587,Key 11m,0.8363,Key 11m,0.933,Key 11m,0.626,Key 11m,0.6675
1732782199235839744,Key 12d,0.7562,Key 12m,0.7391,Key 12d,0.8602,Key 12d,0.8644,Key 12d,0.8285,Key 12d,0.8915,Key 12d,0.8892
1739816367822923873,Key 4m,0.9413,Key 4m,0.9319,Key 4m,0.9007,Key 4m,0.9069,Key 4m,0.9129,Key 4m,0.7246,Key 4m,0.7398
1789459631927062184,Key 9m,0.8758,Key 9m,0.903,Key 9m,0.8318,Key 9m,0.9165,Key 9m,0.8036,Key 9m,0.8216,Key 9m,0.7904
1858396897672046616,Key 10m,0.9061,Key 10m,0.8816,Key 10m,0.862,Key 10m,0.7911,Key 10m,0.903,Key 10m,0.6838,Key 10m,0.8165
1937144846461283045,Key 12d,0.7539,Key 9m,0.6251,Key 9m,0.6972,Key 12d,0.678,Key 9m,0.7572,Key 12d,0.5922,Key 9m,0.6848
1957695949748483893,Key 8m,0.8889,Key 8m,0.896,Key 8m,0.8716,Key 8m,0.9189,Key 8m,0.8389,Key 8d,0.6707,Key 8m,0.6995
1974117155086037343,Key 10m,0.7708,Key 10m,0.8193,Key 10m,0.7724,Key 10m,0.8272,Key 10m,0.6918,Key 10d,0.7737,Key 10m,0.7893
2017298544361737566,Key 12m,0.7897,Key 11m,0.8066,Key 11m,0.8163,Key 12m,0.82,Key 11d,0.744,Key 11d,0.8843,Key 11d,0.9353
