apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength,bpm_rhythm,bpm_rhythm_confidence,bpm_percival
4037FE4D70AB3631,Key 11m,0.8769,Key 11m,0.8845,Key 11m,0.9072,Key 11m,0.8393,Key 11m,0.8212,Key 11d,0.836,Key 11m,0.9608,123.01,3.2134,123.05
4176BE0601188FE8,Key 2m,0.8606,Key 2m,0.8964,Key 2m,0.8492,Key 2m,0.8981,Key 2m,0.7941,Key 2d,0.8446,Key 2m,0.831,124.15,2.9289,124.53
41A551BAEB36490D,Key 1m,0.9392,Key 1m,0.9189,Key 1m,0.8826,Key 1m,0.8761,Key 1m,0.9298,Key 1m,0.7233,Key 1m,0.7864,120.02,2.3923,120.19
42E24D587F0704D8,Key 1m,0.9032,Key 1m,0.9203,Key 1m,0.9059,Key 1m,0.9157,Key 1m,0.8369,Key 1d,0.8515,Key 1d,0.8916,101.89,2.1463,101.83
4300A02512D36A1E,Key 7d,0.6904,Key 7m,0.7365,Key 7d,0.7684,Key 7d,0.8078,Key 7d,0.7244,Key 7d,0.8609,Key 7d,0.7956,123.03,2.897,123.05
432DDF30DEF0C399,Key 1m,0.8263,Key 1m,0.8357,Key 1m,0.813,Key 1m,0.8509,Key 1m,0.7433,Key 12d,0.7999,Key 1m,0.7942,122.98,2.913,123.05
44A1753F543400D0,Key 9m,0.9005,Key 9m,0.8983,Key 9m,0.8806,Key 9m,0.8294,Key 9m,0.8787,Key 9d,0.7163,Key 9m,0.9169,119.02,2.9262,118.8
44E9B76691489766,Key 5m,0.9056,Key 5m,0.8796,Key 5m,0.9022,Key 5m,0.7835,Key 5m,0.9227,Key 5d,0.5888,Key 5m,0.8827,121.01,2.9149,120.89
452361605135D100,Key 11m,0.9218,Key 11m,0.9146,Key 11m,0.922,Key 11m,0.8743,Key 11m,0.9007,Key 11m,0.7736,Key 11m,0.9083,110.0,1.3507,109.96
460BACC52EB03A1A,Key 2m,0.9537,Key 2m,0.9643,Key 2m,0.9077,Key 2m,0.9251,Key 2m,0.9042,Key 2m,0.7536,Key 2m,0.8691,125.07,1.8324,125.28
465947DADD362158,Key 1m,0.8252,Key 1m,0.8614,Key 1m,0.7903,Key 1m,0.9073,Key 12d,0.752,Key 12d,0.7866,Key 12d,0.8546,123.56,2.4584,123.78
470A1860AEAA1392,Key 12m,0.8244,Key 12m,0.8719,Key 12m,0.752,Key 12m,0.821,Key 12m,0.7966,Key 12d,0.6655,Key 12m,0.7773,118.52,1.4865,120.19
480A48B019FE6E76,Key 5m,0.8405,Key 5m,0.8528,Key 5m,0.8368,Key 5m,0.7882,Key 5m,0.809,Key 5m,0.6269,Key 5m,0.7616,123.87,3.1534,123.78
485E79B919CFA501,Key 2m,0.8241,Key 2m,0.8456,Key 2m,0.8299,Key 2m,0.8149,Key 2m,0.7679,Key 2d,0.8033,Key 2d,0.8627,129.88,1.9802,130.01
49FAB4A481EA5430,Key 10m,0.9407,Key 10m,0.9292,Key 10m,0.9491,Key 10m,0.8698,Key 10m,0.9208,Key 10d,0.7099,Key 10m,0.9056,123.13,3.3447,123.05
4A6173BA6EDA3E17,Key 9d,0.8563,Key 9m,0.7262,Key 9d,0.912,Key 9d,0.9491,Key 9d,0.893,Key 9d,0.9468,Key 9d,0.8728,120.92,1.7253,120.89
4AD3E818EBB15070,Key 3m,0.6366,Key 2m,0.5772,Key 2d,0.6361,Key 2d,0.68,Key 3m,0.6041,Key 2d,0.7987,Key 2d,0.7633,123.98,3.4896,123.78
4B7BCE101F0C5705,Key 12m,0.755,Key 12m,0.7782,Key 12d,0.7787,Key 12m,0.8253,Key 12d,0.7405,Key 11d,0.8323,Key 11d,0.8676,148.75,1.3164,74.36
4C0C21464BE6AAC7,Key 7d,0.6314,Key 3m,0.4385,Key 7d,0.6357,Key 7d,0.661,Key 7d,0.6389,Key 7d,0.6678,Key 7d,0.5578,112.97,3.0034,112.96
4C5AA18B64864165,Key 8m,0.8264,Key 8m,0.8339,Key 8m,0.8466,Key 8m,0.8335,Key 8m,0.787,Key 8m,0.7639,Key 8m,0.881,119.0,2.466,118.8
4CA015B06EE4512F,Key 1m,0.7256,Key 1m,0.799,Key 1d,0.7851,Key 1d,0.8044,Key 1d,0.7781,Key 1d,0.788,Key 1d,0.8251,115.0,3.2655,114.84
4D24CEA1A632921F,Key 10m,0.6621,Key 9m,0.6695,Key 9m,0.6887,Key 9m,0.6616,Key 10m,0.6988,Key 9m,0.8129,Key 9m,0.7355,118.01,2.6278,118.12
4DD2259D7BF5CBEE,Key 9d,0.4324,Key 6m,0.3373,Key 9d,0.3956,Key 9d,0.4249,Key 9d,0.3986,Key 10m,0.4325,Key 9d,0.3377,119.02,3.0549,118.8
4E23F5999F4ADA54,Key 9m,0.7283,Key 9m,0.7961,Key 9m,0.698,Key 9m,0.8969,Key 9d,0.6857,Key 8d,0.7337,Key 8d,0.6971,122.12,2.8848,122.32
4EAEF206AC1D3A00,Key 4m,0.8569,Key 4m,0.8548,Key 4m,0.8917,Key 4m,0.9059,Key 4m,0.775,Key 4d,0.8334,Key 3d,0.8167,125.02,1.609,125.28
4F1A1C84302A5643,Key 1m,0.9002,Key 1m,0.8947,Key 1m,0.9366,Key 1m,0.8688,Key 1m,0.8841,Key 1d,0.7077,Key 1m,0.898,119.99,3.354,120.19
4F97745F1350A7F2,Key 11m,0.7706,Key 11m,0.6955,Key 11m,0.7127,Key 11m,0.6661,Key 11m,0.7845,Key 10d,0.6223,Key 10m,0.7175,120.01,2.5879,120.19
4FA902E3391D9161,Key 2d,0.8414,Key 11m,0.6975,Key 1d,0.8406,Key 1d,0.8094,Key 11m,0.8094,Key 1d,0.835,Key 12d,0.8535,128.98,3.0374,129.2
500F6975EB363494,Key 2m,0.9405,Key 2m,0.9447,Key 2m,0.9649,Key 2m,0.9576,Key 2m,0.8855,Key 2d,0.7729,Key 2m,0.8766,94.33,2.0708,94.39
5054161723F1344A,Key 1m,0.9607,Key 1m,0.9582,Key 1m,0.9469,Key 1m,0.9213,Key 1m,0.9282,Key 1d,0.7187,Key 1m,0.8982,124.01,2.7846,123.78
50A022C2E70C901B,Key 1d,0.8839,Key 1m,0.6671,Key 1d,0.9154,Key 1d,0.9694,Key 1d,0.9241,Key 1d,0.913,Key 1d,0.8561,126.01,2.7619,126.05
50E6A69C3634182A,Key 4m,0.8186,Key 4m,0.8258,Key 4m,0.8571,Key 4m,0.7992,Key 4m,0.7372,Key 4d,0.7872,Key 4m,0.8922,133.24,2.7298,133.37
5141F49D0DFBA52A,Key 10m,0.8954,Key 10m,0.8913,Key 10m,0.8678,Key 10m,0.8108,Key 10m,0.9119,Key 10m,0.6682,Key 10m,0.808,123.0,2.6413,123.05
520C6A3A56367859,Key 2m,0.8673,Key 2m,0.896,Key 2m,0.8193,Key 2m,0.9422,Key 2m,0.7768,Key 1d,0.7977,Key 1d,0.8231,84.97,2.3919,84.72
523903D4C3E6473D,Key 9d,0.8317,Key 9m,0.7111,Key 9d,0.9137,Key 9d,0.9363,Key 9d,0.8814,Key 9d,0.9863,Key 9d,0.9291,111.0,3.5389,111.14
524C9604FC6549AE,Key 8m,0.8057,Key 8m,0.8234,Key 8m,0.8247,Key 8m,0.8245,Key 8d,0.7785,Key 8d,0.8355,Key 8d,0.8903,128.99,2.2755,129.2
527A3F0165F276D2,Key 9m,0.7657,Key 9m,0.8055,Key 9m,0.6924,Key 9m,0.7567,Key 9m,0.7126,Key 9d,0.6779,Key 9m,0.7591,118.0,3.378,118.12
52C0CD1F4BE7F58F,Key 3m,0.7963,Key 3m,0.7935,Key 3m,0.7559,Key 3m,0.815,Key 3m,0.7457,Key 3m,0.6967,Key 2d,0.6524,123.75,1.714,124.16
52CC025E20F6240D,Key 1m,0.7852,Key 1m,0.8408,Key 1d,0.8853,Key 1d,0.8782,Key 1d,0.8496,Key 1d,0.8967,Key 1d,0.9283,128.35,2.2384,128.4
53630469057C2991,Key 11m,0.7829,Key 11m,0.7991,Key 12d,0.848,Key 12m,0.7881,Key 12d,0.7727,Key 11d,0.8609,Key 11d,0.9738,128.99,1.0577,129.2
53887FE8DE3E61C9,Key 7d,0.8008,Key 6m,0.7682,Key 7d,0.8415,Key 7d,0.7753,Key 7d,0.8105,Key 7d,0.715,Key 6d,0.8714,108.83,2.597,108.8
540F34976C192B42,Key 11m,0.8224,Key 11m,0.8591,Key 11m,0.8158,Key 11m,0.904,Key 11m,0.7206,Key 11d,0.8664,Key 11m,0.8178,114.96,3.1543,114.84
55F816AA0CBBEDB0,Key 1m,0.74,Key 1m,0.7362,Key 1m,0.8125,Key 1m,0.6987,Key 1m,0.6699,Key 1d,0.7692,Key 1d,0.8695,126.99,2.2857,126.82
568D70A4A1CE7A12,Key 10m,0.8799,Key 10m,0.8778,Key 10m,0.8705,Key 10m,0.8428,Key 10m,0.8129,Key 10d,0.7567,Key 9m,0.8892,118.03,1.2711,118.12
