apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,essentia_key,comment,key_diff
77DDE88FACE6EACC,Maxxi Soundsystem feat. Name One,Regrets We Have No Use For (Original Mix),,118.0,118.0,,118,0.0,Key 9d,Key 9d,Key 6m,6
AAAFD64B647C2004,Agaric,No Way I Know I Feel (Axel Boman Remix),,122.0,122.0,,122,0.0,Key 5d,Key 5d,Key 2m,6
AAE2575C020181C6,Acid Arab,Buzq Blues,,123.0,123.0,,123,0.0,Key 6m,Key 9d,Key 6m,6
27D894143F9508AB,Axel Boman,The Best Ever Made Ever,,126.0,126.0,,126,0.0,Key 4d,Key 4d,Key 1m,6
056BB1EDF5E80113,Galcher Lustwerk,In the Place,,126.0,126.0,,126,0.0,Key 11m,Key 2d,Key 2d,6
78FB70119A0E0A0C,Jon Hopkins,Vessel (Four Tet Remix),,135.6,135.6,,136,-0.4,Key 9d,Key 9d,Key 6m,6
7D47F9DD09DC4CB0,Joy Orbison,flight fm,,140.0,140.0,,140,0.0,Key 12m,Key 3d,Key 12m,6
8AED09318A2D73C6,Mano Le Tough,Energy Flow (DJ Koze's Miles&More Remix),,124.0,124.0,,124,0.0,Key 12d,Key 12d,Key 9m,6
D0D59B35BE5EF64D,Marie Davidson,Work It (Soulwax Remix),,125.0,125.0,,125,0.0,Key 2d,Key 2d,Key 11m,6
F189479E77E19F8B,PJ,"Everything In Its Right Place (House, Extended)",,124.0,124.0,,124,0.0,Key 1d,Key 10m,Key 10m,6
57018B55099B6D2E,Chemise,She Can't Love You,,113.76,113.76,,115,-1.24,Key 3m,Key 3m,Key 12d,6
C1AD2BFCE4B81893,Brigade feat. Acud,Meet Me On Pluto!,,110.0,110.0,,110,0.0,Key 10m,Key 9m,Key 11m,4
0DEE241A0C8838C7,San Proper,It's Here,,114.5,114.5,,114,0.5,Key 7m,Key 9d,Key 7m,4
382005B23C1D7E9F,DJ Koze feat. Eddie Fummler,Moving in a Liquid,,118.0,118.0,,118,0.0,Key 7m,Key 6m,Key 8d,4
87DBCC2080C9F69B,Joy Jenkins,Flowers,,120.0,120.0,,120,0.0,Key 12m,Key 10m,Key 12m,4
F87842D38AE99551,Todd Terje,Ragysh,,120.0,120.0,,120,0.0,Key 7d,Key 9m,Key 7m,4
E467A2579072D4BC,Black Loops,Sex,,121.0,121.0,,121,0.0,Key 1m,Key 12m,Key 11m,4
BCF4FFC5EFDDC171,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),,126.0,126.0,,126,0.0,Key 11m,Key 9m,Key 10m,4
